CodeInsee,CodeDepartement,Commune,Votants,arthaud,ROUSSEL,MACRON,LASSALLE,LE PEN,ZEMMOUR,MÉLENCHON,HIDALGO,JADOT,PÉCRESSE,POUTOU,DUPONT-AIGNAN
25248,25,Les Fontenelles,298,0,6,99,11,73,21,28,2,8,27,0,15
25249,25,Fontenotte,34,0,2,8,2,11,1,5,0,1,1,0,2
25251,25,Fourbanne,114,0,6,27,8,24,7,11,4,9,11,0,3
25252,25,Fourcatier-et-Maison-Neuve,68,0,0,21,4,14,5,7,2,3,5,0,4
25253,25,Fourg,215,1,4,61,4,69,13,28,2,3,14,3,8
25254,25,Les Fourgs,817,2,10,208,44,184,61,143,12,38,50,4,34
25255,25,Fournet-Blancheroche,219,1,5,64,13,31,19,24,2,14,29,0,12
25256,25,Frambouhans,501,8,9,118,28,175,30,32,10,11,31,0,34
25257,25,Franey,188,3,3,59,1,49,14,21,2,12,9,0,7
25258,25,Franois,1326,5,21,427,30,248,72,261,26,99,69,7,33
25259,25,Frasne,1074,9,13,306,44,308,66,113,21,53,72,13,27
25261,25,Froidevaux,55,0,0,6,9,12,3,13,0,0,8,0,4
25262,25,Fuans,282,2,3,82,10,68,16,32,3,12,26,0,18
25263,25,Gellin,145,1,0,24,6,52,7,25,3,10,6,2,4
25264,25,Gémonval,54,0,1,10,3,20,3,8,1,6,0,0,2
25265,25,Geneuille,860,5,12,255,24,203,95,126,12,52,36,6,13
25266,25,Geney,87,0,2,23,3,24,6,15,0,4,2,1,6
25267,25,Gennes,441,3,8,131,10,101,35,64,13,28,28,4,6
25268,25,Germéfontaine,80,0,1,19,2,24,5,6,1,1,12,2,6
25269,25,Germondans,49,0,2,6,3,24,1,5,0,3,4,0,0
25270,25,Gevresin,75,0,0,28,4,15,3,9,2,0,8,0,5
25271,25,Gilley,1042,5,17,340,45,250,66,91,18,57,78,7,40
25273,25,Glamondans,132,0,5,19,5,35,7,36,0,8,7,2,4
25274,25,Glay,184,0,10,36,9,73,8,25,1,7,5,0,5
25275,25,Glère,136,0,0,39,9,53,7,6,2,2,8,2,1
25276,25,Gondenans-Montby,120,2,0,36,8,35,3,11,1,1,10,2,9
25277,25,Gondenans-les-Moulins,46,0,1,5,3,17,3,9,2,1,0,0,0
25278,25,Gonsans,323,2,2,105,12,81,32,31,2,14,17,3,10
25279,25,Gouhelans,79,0,4,20,2,22,9,14,0,4,1,1,1
25280,25,Goumois,94,2,0,22,3,26,3,9,1,6,12,2,5
25281,25,Goux-lès-Dambelin,174,3,4,21,9,80,10,17,3,5,8,1,11
25282,25,Goux-les-Usiers,450,3,6,126,28,117,26,55,9,13,43,6,14
25283,25,Goux-sous-Landet,55,1,0,11,8,14,6,6,1,2,1,2,0
25284,25,Grand-Charmont,2237,23,31,422,42,512,139,797,24,50,72,16,46
25285,25,Grand'Combe-Châteleu,954,3,10,333,52,163,41,122,11,50,79,7,51
25286,25,Grand'Combe-des-Bois,82,0,1,14,8,28,3,10,0,7,5,1,1
25287,25,Grandfontaine,1036,8,16,304,31,184,57,213,33,72,44,17,32
25288,25,Fournets-Luisans,425,3,5,141,18,91,23,42,5,17,53,1,13
25289,25,Grandfontaine-sur-Creuse,52,1,0,13,7,19,1,4,0,2,3,0,0
25290,25,La Grange,63,1,0,13,2,21,8,10,0,0,5,0,3
25293,25,Granges-Narboz,728,4,18,240,25,140,59,90,10,40,48,8,27
25295,25,Les Grangettes,214,0,7,76,11,36,12,26,0,10,21,2,6
25296,25,Les Gras,466,3,11,133,29,98,30,66,9,22,42,6,8
25297,25,Le Gratteris,105,0,3,34,5,23,3,11,2,12,6,0,4
25298,25,Grosbois,168,2,5,46,5,57,10,21,2,4,5,0,9
25299,25,Guillon-les-Bains,62,0,2,16,1,23,7,7,0,2,2,0,0
25300,25,Guyans-Durnes,193,1,1,58,3,43,13,20,3,9,23,3,11
25301,25,Guyans-Vennes,509,5,4,180,40,117,15,54,6,19,36,2,20
25303,25,Hauterive-la-Fresse,146,1,3,26,11,38,8,17,4,10,11,3,12
25304,25,Hérimoncourt,1685,16,32,298,34,647,117,322,25,55,47,8,47
25305,25,L'Hôpital-du-Grosbois,390,3,6,110,19,100,23,61,7,19,20,2,12
25306,25,L'Hôpital-Saint-Lieffroy,77,1,3,19,0,33,4,7,3,0,4,0,1
25307,25,Les Hôpitaux-Neufs,438,2,4,138,18,90,21,69,12,33,20,4,20
25308,25,Les Hôpitaux-Vieux,230,0,4,86,5,48,7,29,3,11,21,1,6
25309,25,Houtaud,602,1,7,199,23,133,38,79,12,19,41,11,21
25310,25,Huanne-Montmartin,61,0,1,8,3,13,3,18,2,5,3,2,3
25311,25,Hyémondans,123,1,0,22,8,51,12,12,0,5,7,1,2
25312,25,Hyèvre-Magny,50,1,1,9,3,24,0,9,0,0,0,0,0
25313,25,Hyèvre-Paroisse,117,1,2,32,2,39,10,14,1,2,6,1,3
25314,25,Indevillers,142,1,0,22,5,72,8,5,1,2,15,0,8
25315,25,L'Isle-sur-le-Doubs,1413,11,38,356,46,499,94,186,27,33,55,12,22
25316,25,Issans,174,0,5,35,10,56,11,17,5,4,8,8,11
25317,25,Jallerange,165,0,4,39,5,63,13,16,1,4,5,1,7
25318,25,Jougne,891,2,0,263,33,209,80,125,9,49,57,5,34
25320,25,Labergement-Sainte-Marie,687,6,4,223,28,144,42,92,11,39,43,2,31
25321,25,Villers-le-Lac,2505,16,27,817,86,484,162,367,38,136,207,19,79
25322,25,Laire,276,1,7,70,5,71,25,38,3,11,20,4,10
25323,25,Laissey,240,2,12,37,4,93,12,54,6,10,2,0,1
25324,25,Lanans,82,2,0,17,9,29,4,5,0,4,8,0,1
25325,25,Landresse,151,1,4,47,11,39,7,21,1,3,10,3,1
25326,25,Lantenne-Vertière,327,3,10,67,8,112,25,49,8,16,10,6,8
25327,25,Lanthenans,47,0,2,5,3,11,7,7,2,2,3,0,5
25328,25,Larnod,493,1,11,167,8,70,29,119,6,36,17,2,7
25329,25,Laval-le-Prieuré,28,0,1,6,5,5,4,2,0,0,2,0,3
25330,25,Lavans-Quingey,123,1,0,33,6,32,2,37,1,4,2,0,2
25331,25,Lavans-Vuillafans,151,1,2,36,1,44,16,18,4,10,11,0,4
25332,25,Lavernay,333,4,3,68,7,98,20,71,2,25,15,4,4
25333,25,Laviron,236,1,2,73,11,64,18,21,6,7,23,0,6
25334,25,Levier,1224,14,10,308,47,335,93,174,21,28,111,5,42
25335,25,Liebvillers,101,1,2,18,5,32,12,16,0,1,3,5,2
25336,25,Liesle,323,0,13,50,19,88,14,90,9,4,14,5,7
25338,25,Lizine,63,1,2,16,4,10,3,7,1,3,6,2,3
25339,25,Lods,155,0,4,46,9,32,9,25,4,4,14,2,3
25340,25,Lombard,139,1,3,25,4,35,8,34,5,10,6,0,4
25341,25,Lomont-sur-Crête,130,2,4,25,1,43,12,7,1,1,22,0,5
25342,25,Longechaux,43,0,0,10,3,5,4,4,3,3,8,0,1
25343,25,Longemaison,112,0,1,26,3,34,13,9,0,3,17,0,3
25344,25,Longevelle-lès-Russey,32,0,0,3,4,1,1,7,0,3,10,0,2
25345,25,Longevelle-sur-Doubs,408,4,12,92,17,125,25,58,11,9,27,4,7
25346,25,Longeville,118,1,2,34,10,20,15,5,0,5,9,0,11
25347,25,La Longeville,519,3,11,123,11,129,48,44,7,22,65,0,45
25348,25,Longevilles-Mont-d'Or,294,2,5,66,17,51,20,65,1,20,23,4,17
25349,25,Loray,337,1,4,82,4,110,33,35,2,12,21,3,17
25350,25,Lougres,482,8,10,127,24,174,30,49,3,16,14,4,10
25351,25,Le Luhier,132,0,4,40,7,36,7,7,4,2,11,1,9
25354,25,Luxiol,84,0,1,20,9,32,3,10,0,0,3,0,3
25355,25,Magny-Châtelard,31,0,1,12,6,8,1,0,0,0,1,0,0
25356,25,Maîche,2020,20,29,599,65,486,106,277,51,71,140,10,106
25357,25,Maisons-du-Bois-Lièvremont,515,4,7,145,15,129,38,56,5,23,54,3,19
25359,25,Malans,123,1,4,38,11,34,5,11,1,5,9,0,2
25360,25,Malbrans,105,4,0,26,2,12,7,31,1,5,6,2,0
25361,25,Malbuisson,512,0,3,178,25,91,27,84,10,38,28,1,15
25362,25,Malpas,183,0,0,47,6,39,6,34,4,17,11,1,14
25364,25,Mamirolle,989,6,24,301,34,248,59,157,19,52,43,4,24
25365,25,Mancenans,219,0,6,32,16,94,18,16,6,2,9,5,10
25366,25,Mancenans-Lizerne,135,0,0,44,7,29,16,7,1,7,9,1,10
25367,25,Mandeure,2427,19,42,486,60,879,170,473,29,48,81,16,67
25368,25,Marchaux-Chaudefontaine,886,5,13,249,20,233,76,134,10,41,39,9,26
25369,25,Marvelise,90,1,1,28,2,27,6,14,1,1,0,0,6
25370,25,Mathay,1404,10,23,325,40,523,129,149,23,30,59,10,53
25371,25,Mazerolles-le-Salin,141,1,4,35,7,23,9,32,1,10,10,0,5
25372,25,Médière,159,0,7,40,5,62,9,15,4,3,3,1,6
25373,25,Le Mémont,29,0,1,9,5,2,0,2,0,2,3,1,0
25374,25,Mercey-le-Grand,343,2,6,83,13,109,25,41,4,14,23,2,13
25375,25,Les Monts-Ronds,427,4,4,127,21,79,34,65,8,21,32,3,14
25376,25,Mérey-Vieilley,111,0,0,21,8,26,11,26,2,5,8,0,2
25377,25,Mésandans,127,1,1,27,8,25,9,23,3,5,10,3,6
25378,25,Meslières,185,2,8,37,4,54,17,27,4,4,12,2,10
25379,25,Mesmay,46,0,0,8,0,5,0,18,1,2,3,1,4
25380,25,Métabief,822,3,6,237,28,160,66,156,8,50,46,12,35
25381,25,Miserey-Salines,1539,3,23,539,31,302,123,231,25,87,100,7,29
25382,25,Moncey,319,4,7,82,10,72,28,60,6,8,11,1,15
25383,25,Moncley,196,0,4,48,11,51,15,28,4,14,11,1,6
25384,25,Mondon,59,1,3,14,2,16,2,8,2,2,0,3,1
25385,25,Montagney-Servigney,78,1,1,13,0,28,18,9,1,1,3,0,1
25386,25,Montancy,91,2,2,26,3,26,14,5,3,5,1,1,1
25387,25,Montandon,245,2,4,51,10,79,14,23,6,4,22,4,16
25388,25,Montbéliard,9378,69,153,2309,149,1788,680,2736,134,352,530,81,185
25389,25,Montbéliardot,81,0,1,25,4,20,3,8,0,1,6,2,7
25390,25,Montbenoît,198,0,3,43,11,53,24,22,2,10,16,2,4
25391,25,Mont-de-Laval,151,0,1,47,5,18,17,26,3,7,16,0,7
